         1247635 function calls (1225710 primitive calls) in 1.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:1411(get_type_hints)
       10    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/importlib/metadata.py:483(__init__)
        2    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/importlib/metadata.py:526(read_text)
       29    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/rcsetup.py:462(_validate_linestyle)
       28    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/arrays/sparse/array.py:292(SparseArray)
       82    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:903(<genexpr>)
       39    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/registry.py:1097(parse_unit_name)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/errors/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/interchange/from_dataframe.py:1(<module>)
       17    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/six.py:194(find_spec)
       33    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/dataclasses.py:300(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/visualize/categories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/registry_helpers.py:1(<module>)
       33    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:783(copy_with)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/io/parsers/python_parser.py:1(<module>)
      134    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/_distutils_hack/__init__.py:96(<lambda>)
       33    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/dataclasses.py:940(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/calendar.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/pathlib.py:736(_make_child)
        8    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:132(geterr)
        4    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/fft/_pocketfft.py:1(<module>)
       84    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:244(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/numerictypes.py:441(_construct_lookups)
        4    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/selectors.py:21(_fileobj_to_fd)
        6    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/util.py:680(operate)
      105    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_docstring.py:88(do_copy)
      138    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/cycler/__init__.py:247(<genexpr>)
        1    0.000    0.000    0.009    0.009 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/util/hashing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/indexes/range.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pytz/lazy.py:84(__new__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/contextlib.py:76(inner)
        1    0.000    0.000    0.003    0.003 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/struct.py:1(<module>)
       31    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/logging/__init__.py:771(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/getlimits.py:484(__new__)
        6    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:1955(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/reshape/tile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/core/pfstate/pfstate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/arrays/integer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/arrays/string_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/strings/accessor.py:1(<module>)
       14    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/getlimits.py:709(max)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/holidays/utils.py:12(<module>)
       18    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/cycler/__init__.py:482(cycler)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/babel/localedata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/_typing/_nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/lines.py:216(Line2D)
      105    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/__init__.py:331(wrapper)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/testing/testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/formatting.py:1(<module>)
       36    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/logging/__init__.py:227(_releaseLock)
       62    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/pathlib.py:1089(_init)
       20    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/dataclasses.py:770(_hash_add)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/os.py:711(copy)
       19    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/path.py:202(_update_values)
        2    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/systems.py:454(from_definition)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/dateutil/tz/tz.py:488(_read_tzfile)
        1    0.000    0.000    0.002    0.002 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/dateutil/parser/__init__.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/systems.py:1(<module>)
        8    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_api/deprecation.py:506(suppress_matplotlib_deprecation_warning)
       30    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/collections/__init__.py:955(__contains__)
    24/19    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/registry.py:1441(_define)
        1    0.000    0.000    0.097    0.097 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/util/_decorators.py:1(<module>)
       35    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/email/header.py:5(<module>)
       52    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/ops/common.py:34(wrapper)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/registry.py:673(<dictcomp>)
       85    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:1910(streamline)
       34    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/accessor.py:110(_create_delegator_method)
        1    0.000    0.000    0.004    0.004 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/lib/utils.py:1(<module>)
     10/4    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:4271(streamline)
        1    0.000    0.000    0.003    0.003 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/core/mixins/text.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/fnmatch.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/computation/eval.py:1(<module>)
       23    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:5225(__init__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/polynomial/chebyshev.py:1(<module>)
       31    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/_collections_abc.py:596(__sub__)
       38    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/getlimits.py:91(_float_to_float)
       20    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       16    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/_type_aliases.py:44(_bits_of)
       18    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/cycler/__init__.py:546(_cycler)
        8    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/weakref.py:368(__init__)
        1    0.000    0.000    0.083    0.083 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/matplotlib.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:1561(__or__)
       62    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/patches.py:2285(_register_style)
      141    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       91    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/indexes/datetimelike.py:81(DatetimeIndexOpsMixin)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/tokenize.py:388(open)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/getlimits.py:1(<module>)
       30    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/rcsetup.py:52(__init__)
        1    0.000    0.000    0.110    0.110 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/compat/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/window/ewm.py:124(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/helpers.py:1027(<listcomp>)
       13    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/_dtype_ctypes.py:100(dtype_from_ctypes_type)
       17    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:911(construct_from_string)
       18    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/_collections_abc.py:760(get)
       84    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pytz/lazy.py:149(lazy)
       97    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:6025(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/mpl_toolkits/mplot3d/proj3d.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/util.py:260(<setcomp>)
      127    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:2435(__getnewargs__)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/prices/convert.py:1(<module>)
       10    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/dtypes/base.py:135(__hash__)
        1    0.000    0.000    0.005    0.005 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/textpath.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/functools.py:799(singledispatch)
        1    0.000    0.000    0.003    0.003 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/compat/_optional.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/tools/wavg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/core/pfline/arithmatic.py:149(PfLineArithmatic)
        7    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/logging/__init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/tools/numeric.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/platform.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/util.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/results.py:2(<module>)
       19    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/dtypes/base.py:423(register_extension_dtype)
       42    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       39    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/_add_newdocs_scalars.py:83(<genexpr>)
        8    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/colors.py:1630(make_norm_from_scale)
        3    0.000    0.000    0.002    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/patches.py:2211(__init_subclass__)
        1    0.000    0.000    0.006    0.006 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/__init__.py:240(_check_versions)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/pprint.py:103(PrettyPrinter)
       14    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/results.py:450(<listcomp>)
       31    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/core/pfline/interop.py:1(<module>)
       10    0.000    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:5706(__init__)
       51    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/core.py:2448(_generateDefaultName)
      129    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/results.py:24(__getitem__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/bz2.py:27(BZ2File)
        4    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:938(_create_pseudo_member_)
       12    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/_strptime.py:219(__seqToRE)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/util/_exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/internals/managers.py:95(BaseBlockManager)
        1    0.000    0.000    0.004    0.004 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/PIL/ExifTags.py:12(<module>)
       20    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/_config/config.py:843(is_one_of_factory)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/markers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/sorting.py:1(<module>)
       29    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/cbook.py:1337(_to_unmasked_float_array)
       46    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/six.py:110(__init__)
       17    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/dtypes/dtypes.py:1179(construct_from_string)
        1    0.000    0.000    0.091    0.091 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/colorbar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_fontconfig_pattern.py:57(_make_fontconfig_parser)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/indexes/datetimelike.py:404(DatetimeTimedeltaMixin)
        5    0.000    0.000    0.003    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/definitions.py:178(from_string)
       34    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/registry.py:920(<genexpr>)
       31    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/tokenize.py:319(read_or_stop)
        3    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/__init__.py:290(__getattr__)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/bisect.py:1(<module>)
       36    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/rcsetup.py:744(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/ma/core.py:6550(__new__)
        1    0.000    0.000    0.093    0.093 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/__config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/ntpath.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/importlib_resources/_compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/gridspec.py:26(GridSpecBase)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/arraylike.py:31(OpsMixin)
      161    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pyparsing/util.py:200(escape_re_range_char)
        2    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/ma/core.py:2952(_update_from)
       92    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.002    0.002 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/contour.py:72(ContourLabeler)
       15    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/util.py:468(__copy__)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_mathtext_data.py:464(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/Library/CloudStorage/OneDrive-LichtBlickSE/Desktop/portfolyo/portfolyo/portfolyo/visualize/colors.py:14(lighten)
       62    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pint/definitions.py:49(<genexpr>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/_afm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/dtypes/base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/traceback.py:321(extract)
        2    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/__init__.py:514(_get_config_or_cache_dir)
        1    0.000    0.000    0.001    0.001 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/computation/scope.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/methods/selectn.py:1(<module>)
       15    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/rcsetup.py:85(_listify_validator)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/strings/base.py:19(BaseStringArrayMethods)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/numeric.py:67(zeros_like)
       68    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/email/message.py:479(set_raw)
       14    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/pandas/core/ops/array_ops.py:408(get_array_op)
