         1247635 function calls (1225710 primitive calls) in 1.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1845    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      794    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      556    0.002    0.000    0.002    0.000 {built-in method numpy.array}
 2129/633    0.002    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:175(getwidth)
    11722    0.002    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:165(__getitem__)
    794/1    0.001    0.000    1.007    1.007 <frozen importlib._bootstrap>:659(_load_unlocked)
    829/1    0.001    0.000    1.007    1.007 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      965    0.001    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/functools.py:35(update_wrapper)
       62    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
     1845    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
     1845    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
  793/715    0.001    0.000    0.019    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:2246(_signature_from_callable)
     5771    0.001    0.000    0.019    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/re.py:198(search)
      814    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
    10485    0.001    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:255(get)
      405    0.001    0.000    0.015    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/textwrap.py:414(dedent)
      698    0.001    0.000    0.279    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1162    0.001    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:137(_type_check)
        1    0.001    0.001    0.004    0.004 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/ma/core.py:1(<module>)
     3451    0.001    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:713(__setattr__)
     1679    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
  711/284    0.001    0.000    0.018    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:436(_parse_sub)
      175    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       44    0.001    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/collections/__init__.py:345(namedtuple)
     7447    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     4442    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      786    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
    12986    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      105    0.001    0.000    0.004    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/artist.py:170(<listcomp>)
    31390    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      538    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:191(_collect_type_vars)
     1396    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     6320    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        5    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
 1678/210    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
    698/1    0.001    0.000    1.007    1.007 <frozen importlib._bootstrap_external>:844(exec_module)
     3783    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:173(append)
     2674    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/cbook.py:405(_strip_comment)
    15436    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
  794/792    0.001    0.000    0.193    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
   1099/5    0.001    0.000    0.943    0.189 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      515    0.001    0.000    0.004    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:739(__init__)
        5    0.001    0.000    0.011    0.002 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/subprocess.py:1677(_execute_child)
      698    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       31    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/function_base.py:24(linspace)
     2094    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      284    0.001    0.000    0.030    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:783(compile)
     3451    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:665(_is_dunder)
     3061    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      698    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      284    0.001    0.000    0.002    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_compile.py:560(_compile_info)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
     6817    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:670(__new__)
        3    0.001    0.000    0.001    0.000 {built-in method posix.open}
      586    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/_utils/_inspect.py:65(getargs)
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     3283    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
     5095    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      195    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/matplotlib/colors.py:1110(<listcomp>)
     6447    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     2086    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:947(<genexpr>)
     9321    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      830    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      272    0.001    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:433(_uniq)
     1738    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      220    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
  959/871    0.001    0.000    0.010    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/typing.py:271(inner)
     1012    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      317    0.000    0.000    0.003    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/core/overrides.py:142(decorator)
      786    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      816    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/enum.py:462(__setattr__)
     1484    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.000    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/site-packages/numpy/linalg/linalg.py:492(inv)
      786    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      792    0.000    0.000    0.001    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/inspect.py:494(unwrap)
     3283    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
2349/2179    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      284    0.000    0.000    0.019    0.000 /Users/alina.voilova/miniconda3/envs/env-portfolyo/lib/python3.9/sre_parse.py:944(parse)
